DBN,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Latitude,Longitude,SATmath,SATall
26Q495,2.0,4.0,7.0,2.0,1.0,1.13,8.47,15.33,3.8,3.07,40.771755,-73.78029599999999,523.0,483.0
27Q262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.586065999999995,-73.822624,419.0,417.3333333333333
30Q575,0.0,0.0,2.0,0.0,0.0,0.52,1.71,2.49,1.16,0.75,40.751331,-73.937434,492.0,490.0
30Q575,1.0,3.0,0.0,3.0,0.0,0.46,1.65,2.77,1.17,0.75,40.751331,-73.937434,492.0,490.0
30Q575,0.0,1.0,0.0,0.0,1.0,0.38,1.71,2.38,0.98,0.82,40.751331,-73.937434,492.0,490.0
27Q410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.586065999999995,-73.822624,396.0,378.0
26Q415,8.0,16.0,12.0,16.0,5.0,2.13,9.06,14.5,6.06,3.56,40.752333,-73.75599,545.0,504.6666666666667
26Q415,1.0,9.0,11.0,7.0,1.0,1.57,7.21,14.07,5.14,2.57,40.752333,-73.75599,545.0,504.6666666666667
26Q415,2.0,18.0,11.0,8.0,4.0,1.13,8.47,15.33,3.8,3.07,40.752333,-73.75599,545.0,504.6666666666667
29Q248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.668234999999996,-73.756839,380.0,366.3333333333333
29Q283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.668234999999996,-73.756839,367.0,366.6666666666667
29Q272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.668234999999996,-73.756839,427.0,429.0
29Q265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.668234999999996,-73.756839,398.0,400.6666666666667
25Q425,2.0,9.0,32.0,6.0,3.0,2.13,9.06,14.5,6.06,3.56,40.738139000000004,-73.82494399999999,451.0,414.3333333333333
25Q425,3.0,14.0,33.0,9.0,6.0,1.57,7.21,14.07,5.14,2.57,40.738139000000004,-73.82494399999999,451.0,414.3333333333333
25Q425,4.0,16.0,51.0,7.0,7.0,1.13,8.47,15.33,3.8,3.07,40.738139000000004,-73.82494399999999,451.0,414.3333333333333
26Q430,3.0,3.0,4.0,4.0,2.0,1.8,7.8,7.6,6.2,2.2,40.740724,-73.79283000000001,539.0,491.3333333333333
26Q430,3.0,13.0,4.0,11.0,3.0,2.6,10.4,14.8,9.2,2.4,40.740724,-73.79283000000001,539.0,491.3333333333333
26Q430,0.0,7.0,5.0,4.0,1.0,0.33,6.67,7.0,3.33,2.0,40.740724,-73.79283000000001,539.0,491.3333333333333
26Q435,2.0,11.0,26.0,7.0,5.0,2.39,7.89,13.67,5.22,3.94,40.733066,-73.73875600000001,397.0,390.6666666666667
26Q435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.733066,-73.73875600000001,397.0,390.6666666666667
28Q440,0.0,9.0,10.0,6.0,0.0,2.13,9.06,14.5,6.06,3.56,40.729402,-73.845637,497.0,469.0
28Q440,2.0,2.0,5.0,4.0,0.0,1.57,7.21,14.07,5.14,2.57,40.729402,-73.845637,497.0,469.0
28Q440,1.0,9.0,5.0,6.0,4.0,1.13,8.47,15.33,3.8,3.07,40.729402,-73.845637,497.0,469.0
30Q445,1.0,12.0,9.0,7.0,4.0,2.93,12.33,31.53,6.47,5.13,40.75823,-73.910514,449.0,425.0
30Q445,1.0,16.0,13.0,10.0,5.0,1.96,7.74,16.07,5.48,3.44,40.75823,-73.910514,449.0,425.0
30Q445,0.0,11.0,7.0,5.0,3.0,1.69,7.16,17.44,3.63,3.94,40.75823,-73.910514,449.0,425.0
30Q555,0.0,2.0,3.0,2.0,0.0,0.52,1.71,2.49,1.16,0.75,40.751356,-73.937445,475.0,375.6666666666667
30Q555,0.0,1.0,1.0,0.0,1.0,0.46,1.65,2.77,1.17,0.75,40.751356,-73.937445,475.0,375.6666666666667
30Q555,0.0,1.0,0.0,0.0,0.0,0.38,1.71,2.38,0.98,0.82,40.751356,-73.937445,475.0,375.6666666666667
30Q450,0.0,5.0,14.0,2.0,1.0,2.93,12.33,31.53,6.47,5.13,40.765826000000004,-73.9328,420.0,406.0
30Q450,2.0,4.0,12.0,3.0,1.0,1.96,7.74,16.07,5.48,3.44,40.765826000000004,-73.9328,420.0,406.0
30Q450,0.0,9.0,20.0,2.0,5.0,1.69,7.16,17.44,3.63,3.94,40.765826000000004,-73.9328,420.0,406.0
24Q455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.741122,-73.874721,440.0,401.0
24Q550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.737427000000004,-73.853178,403.0,391.3333333333333
25Q467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765166,-73.82789,373.0,365.0
25Q460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765166,-73.82789,441.0,405.3333333333333
27Q302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.60201,-73.762795,401.0,385.3333333333333
27Q260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.60201,-73.762795,385.0,381.6666666666667
27Q309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.60201,-73.762795,379.0,364.6666666666667
28Q310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.713218,-73.797237,445.0,421.6666666666667
28Q470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.713218,-73.797237,368.0,354.3333333333333
28Q350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.713218,-73.797237,452.0,435.6666666666667
27Q475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.693006,-73.82940699999999,404.0,384.6666666666667
27Q475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.695888000000004,-73.833681,404.0,384.6666666666667
27Q480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.679639,-73.837298,409.0,397.3333333333333
24Q600,0.0,6.0,6.0,4.0,1.0,0.81,3.95,6.51,2.3,1.78,40.742205,-73.928219,447.0,423.3333333333333
24Q600,0.0,3.0,7.0,1.0,1.0,0.82,2.97,5.58,1.79,1.67,40.742205,-73.928219,447.0,423.3333333333333
24Q600,0.0,1.0,5.0,1.0,0.0,0.59,2.3,4.8,1.36,1.17,40.742205,-73.928219,447.0,423.3333333333333
24Q485,2.0,3.0,22.0,0.0,5.0,0.81,5.43,8.48,3.24,2.33,40.711033,-73.908814,420.0,403.6666666666667
24Q485,0.0,5.0,6.0,3.0,2.0,0.95,3.35,6.9,2.5,1.45,40.711033,-73.908814,420.0,403.6666666666667
24Q485,0.0,3.0,12.0,0.0,3.0,0.59,2.3,4.8,1.36,1.17,40.711033,-73.908814,420.0,403.6666666666667
29Q492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.697819,-73.745728,426.0,406.6666666666667
29Q494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.697819,-73.745728,377.0,379.6666666666667
29Q498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.697819,-73.745728,381.0,383.6666666666667
29Q496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.697819,-73.745728,414.0,384.0
28Q505,2.0,6.0,12.0,3.0,5.0,2.13,9.06,14.5,6.06,3.56,40.709446,-73.80166,413.0,398.0
28Q505,4.0,6.0,11.0,7.0,3.0,1.57,7.21,14.07,5.14,2.57,40.709446,-73.80166,413.0,398.0
28Q505,2.0,9.0,12.0,7.0,4.0,1.13,8.47,15.33,3.8,3.07,40.709446,-73.80166,413.0,398.0
25Q525,0.0,1.0,0.0,1.0,0.0,0.56,2.4,3.56,1.36,1.05,40.734390000000005,-73.821392,651.0,636.6666666666666
25Q525,0.0,3.0,0.0,3.0,0.0,0.48,2.19,3.69,1.29,1.0,40.734390000000005,-73.821392,651.0,636.6666666666666
25Q525,0.0,1.0,2.0,1.0,0.0,0.57,2.12,3.64,1.39,1.05,40.734390000000005,-73.821392,651.0,636.6666666666666
24Q520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.744412,-73.93364,393.0,392.3333333333333
24Q530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.744412,-73.93364,409.0,354.6666666666667
26Q566,3.0,1.0,3.0,0.0,4.0,0.56,2.4,3.56,1.36,1.05,40.746088,-73.727535,434.0,426.3333333333333
26Q566,3.0,2.0,6.0,4.0,1.0,0.48,2.19,3.69,1.29,1.0,40.746088,-73.727535,434.0,426.3333333333333
26Q566,1.0,1.0,2.0,0.0,1.0,0.57,2.12,3.64,1.39,1.05,40.746088,-73.727535,434.0,426.3333333333333
30Q501,0.0,0.0,0.0,0.0,0.0,0.52,1.71,2.49,1.16,0.75,40.756534,-73.92512099999999,496.0,498.0
30Q501,0.0,2.0,0.0,1.0,0.0,0.46,1.65,2.77,1.17,0.75,40.756534,-73.92512099999999,496.0,498.0
30Q501,0.0,0.0,0.0,0.0,0.0,0.38,1.71,2.38,0.98,0.82,40.756534,-73.92512099999999,496.0,498.0
28Q338,1.0,0.0,1.0,0.0,1.0,0.35,1.06,1.09,0.73,0.5,40.70848,-73.800065,408.0,392.6666666666667
28Q338,0.0,0.0,0.0,0.0,0.0,0.36,0.76,1.17,0.64,0.37,40.70848,-73.800065,408.0,392.6666666666667
28Q338,0.0,0.0,0.0,0.0,0.0,0.24,0.71,1.71,0.51,0.32,40.70848,-73.800065,408.0,392.6666666666667
24Q610,0.0,4.0,6.0,3.0,0.0,2.39,7.89,13.67,5.22,3.94,40.743509,-73.929076,496.0,454.6666666666667
24Q610,0.0,1.0,5.0,0.0,1.0,1.96,7.74,16.07,5.48,3.44,40.743509,-73.929076,496.0,454.6666666666667
24Q610,2.0,0.0,1.0,2.0,0.0,1.69,7.16,17.44,3.63,3.94,40.743509,-73.929076,496.0,454.6666666666667
28Q620,5.0,5.0,7.0,3.0,6.0,2.39,7.89,13.67,5.22,3.94,40.715389,-73.80036899999999,478.0,457.3333333333333
28Q620,3.0,6.0,8.0,7.0,2.0,1.96,7.74,16.07,5.48,3.44,40.715389,-73.80036899999999,478.0,457.3333333333333
28Q620,2.0,8.0,7.0,5.0,3.0,1.69,7.16,17.44,3.63,3.94,40.715389,-73.80036899999999,478.0,457.3333333333333
27Q650,1.0,3.0,2.0,4.0,0.0,0.52,1.71,2.49,1.16,0.75,40.689591,-73.840717,491.0,448.3333333333333
27Q650,0.0,0.0,2.0,0.0,0.0,0.46,1.65,2.77,1.17,0.75,40.689591,-73.840717,491.0,448.3333333333333
27Q650,1.0,7.0,4.0,4.0,2.0,0.38,1.71,2.38,0.98,0.82,40.689591,-73.840717,491.0,448.3333333333333
28Q896,0.0,0.0,1.0,0.0,0.0,0.33,1.32,1.76,0.83,0.59,40.707527,-73.806412,445.0,438.6666666666667
28Q896,1.0,0.0,2.0,1.0,0.0,0.31,1.12,1.82,0.79,0.51,40.707527,-73.806412,445.0,438.6666666666667
28Q896,1.0,1.0,3.0,2.0,0.0,0.28,1.11,1.74,0.75,0.53,40.707527,-73.806412,445.0,438.6666666666667
28Q690,3.0,7.0,8.0,5.0,4.0,0.33,1.32,1.76,0.83,0.59,40.686208,-73.784144,406.0,398.6666666666667
28Q690,0.0,5.0,12.0,0.0,3.0,0.31,1.12,1.82,0.79,0.51,40.686208,-73.784144,406.0,398.6666666666667
28Q690,1.0,6.0,6.0,1.0,6.0,0.28,1.11,1.74,0.75,0.53,40.686208,-73.784144,406.0,398.6666666666667
28Q680,0.0,0.0,0.0,0.0,0.0,0.52,1.71,2.49,1.16,0.75,40.718831,-73.806499,523.0,512.6666666666666
28Q680,0.0,1.0,1.0,1.0,0.0,0.46,1.65,2.77,1.17,0.75,40.718831,-73.806499,523.0,512.6666666666666
28Q680,0.0,2.0,1.0,1.0,1.0,0.28,1.11,1.74,0.75,0.53,40.718831,-73.806499,523.0,512.6666666666666
25Q670,0.0,4.0,2.0,2.0,1.0,0.33,1.32,1.76,0.83,0.59,40.725603,-73.81069699999999,458.0,443.3333333333333
25Q670,0.0,3.0,3.0,3.0,0.0,0.31,1.12,1.82,0.79,0.51,40.725603,-73.81069699999999,458.0,443.3333333333333
25Q670,0.0,4.0,6.0,3.0,0.0,0.28,1.11,1.74,0.75,0.53,40.725603,-73.81069699999999,458.0,443.3333333333333
30Q502,0.0,7.0,5.0,5.0,2.0,0.52,1.71,2.49,1.16,0.75,40.748701000000004,-73.94638,434.0,413.0
30Q502,0.0,2.0,8.0,0.0,2.0,0.46,1.65,2.77,1.17,0.75,40.748701000000004,-73.94638,434.0,413.0
30Q502,0.0,2.0,2.0,1.0,0.0,0.38,1.71,2.38,0.98,0.82,40.748701000000004,-73.94638,434.0,413.0
79Q950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.70284,-73.808352,400.0,440.6666666666667
79Q950,0.0,0.0,0.0,0.0,0.0,1.57,7.21,14.07,5.14,2.57,40.70284,-73.808352,400.0,440.6666666666667
79Q950,0.0,0.0,0.0,0.0,0.0,1.13,8.47,15.33,3.8,3.07,40.70284,-73.808352,400.0,440.6666666666667
24Q267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.745095,-73.936635,413.0,406.3333333333333
24Q299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.745095,-73.936635,568.0,554.3333333333334
24Q264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.745095,-73.936635,454.0,426.6666666666667
24Q296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74373,-73.870642,323.0,317.0
24Q293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74373,-73.870642,429.0,413.3333333333333
28Q687,0.0,1.0,1.0,0.0,0.0,0.35,1.06,1.09,0.73,0.5,40.701049,-73.798151,660.0,622.6666666666666
28Q687,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.701049,-73.798151,660.0,622.6666666666666
28Q687,0.0,0.0,0.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.701049,-73.798151,660.0,622.6666666666666
25Q792,0.0,3.0,2.0,2.0,1.0,0.43,1.03,1.23,0.99,0.41,40.720359,-73.819792,421.0,392.3333333333333
25Q792,0.0,0.0,2.0,0.0,0.0,0.36,0.76,1.17,0.64,0.37,40.720359,-73.819792,421.0,392.3333333333333
25Q792,0.0,2.0,1.0,2.0,0.0,0.24,0.71,1.71,0.51,0.32,40.720359,-73.819792,421.0,392.3333333333333
30Q580,0.0,0.0,0.0,0.0,0.0,0.35,1.06,1.09,0.73,0.5,40.755365999999995,-73.92716899999999,568.0,545.3333333333334
30Q580,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.755365999999995,-73.92716899999999,568.0,545.3333333333334
30Q580,0.0,0.0,0.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.755365999999995,-73.92716899999999,568.0,545.3333333333334
75Q811,0.0,1.0,1.0,1.0,0.0,0.35,1.06,1.09,0.73,0.5,40.756778000000004,-73.729487,444.0,435.3333333333333
75Q811,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.756778000000004,-73.729487,444.0,435.3333333333333
75Q811,0.0,0.0,1.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.756778000000004,-73.729487,444.0,435.3333333333333
31R064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.581315000000004,-74.158589,412.0,398.3333333333333
31R047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.581315000000004,-74.158589,451.0,451.0
31R440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.569393,-74.107737,437.0,425.6666666666667
31R605,0.0,0.0,0.0,0.0,0.0,0.56,2.4,3.56,1.36,1.05,40.567873,-74.11537299999999,682.0,651.0
31R605,0.0,0.0,2.0,0.0,0.0,0.48,2.19,3.69,1.29,1.0,40.567873,-74.11537299999999,682.0,651.0
31R605,0.0,0.0,1.0,0.0,0.0,0.64,3.02,5.77,1.72,1.54,40.567873,-74.11537299999999,682.0,651.0
31R445,0.0,19.0,34.0,9.0,8.0,0.81,5.43,8.48,3.24,2.33,40.634572999999996,-74.141818,438.0,426.3333333333333
31R445,2.0,14.0,20.0,4.0,9.0,0.82,2.97,5.58,1.79,1.67,40.634572999999996,-74.141818,438.0,426.3333333333333
31R445,2.0,10.0,25.0,8.0,2.0,0.64,3.02,5.77,1.72,1.54,40.634572999999996,-74.141818,438.0,426.3333333333333
31R450,5.0,26.0,37.0,15.0,12.0,2.39,7.89,13.67,5.22,3.94,40.644735,-74.081222,435.0,433.6666666666667
31R450,5.0,24.0,29.0,21.0,8.0,1.96,7.74,16.07,5.48,3.44,40.644735,-74.081222,435.0,433.6666666666667
31R450,3.0,9.0,23.0,7.0,2.0,1.69,7.16,17.44,3.63,3.94,40.644735,-74.081222,435.0,433.6666666666667
31R455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.528092,-74.192032,486.0,472.6666666666667
31R607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.528092,-74.192032,375.0,383.3333333333333
31R460,3.0,12.0,36.0,9.0,2.0,2.13,9.06,14.5,6.06,3.56,40.596803,-74.124227,474.0,462.6666666666667
31R460,2.0,19.0,25.0,9.0,6.0,1.57,7.21,14.07,5.14,2.57,40.596803,-74.124227,474.0,462.6666666666667
31R460,1.0,12.0,25.0,6.0,2.0,1.13,8.47,15.33,3.8,3.07,40.596803,-74.124227,474.0,462.6666666666667
31R470,0.0,1.0,0.0,1.0,0.0,0.43,1.03,1.23,0.99,0.41,40.610867999999996,-74.087379,455.0,445.0
31R470,1.0,1.0,6.0,1.0,1.0,0.36,0.76,1.17,0.64,0.37,40.610867999999996,-74.087379,455.0,445.0
31R470,0.0,2.0,3.0,1.0,0.0,0.24,0.71,1.71,0.51,0.32,40.610867999999996,-74.087379,455.0,445.0
31R600,0.0,8.0,15.0,1.0,3.0,0.33,1.32,1.76,0.83,0.59,40.642793,-74.07873000000001,422.0,411.6666666666667
31R600,0.0,2.0,5.0,2.0,0.0,0.31,1.12,1.82,0.79,0.51,40.642793,-74.07873000000001,422.0,411.6666666666667
31R600,0.0,3.0,9.0,2.0,1.0,0.28,1.11,1.74,0.75,0.53,40.642793,-74.07873000000001,422.0,411.6666666666667
31R080,0.0,3.0,7.0,1.0,1.0,0.86,3.26,5.55,2.17,1.29,40.608517,-74.102078,488.0,475.3333333333333
31R080,1.0,3.0,1.0,4.0,0.0,0.89,3.22,5.07,2.18,1.64,40.608517,-74.102078,488.0,475.3333333333333
31R080,1.0,4.0,2.0,3.0,1.0,0.64,3.02,5.77,1.72,1.54,40.608517,-74.102078,488.0,475.3333333333333
09X250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.833665,-73.902499,394.0,389.6666666666667
09X260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.833665,-73.902499,480.0,465.3333333333333
09X276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.840891,-73.898166,353.0,360.3333333333333
08X332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.817512,-73.898212,371.0,361.3333333333333
08X530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.817512,-73.898212,381.0,377.0
09X365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.849623,-73.91606999999999,339.0,317.0
12X262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8359,-73.890458,353.0,358.0
12X251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8359,-73.890458,381.0,374.0
12X278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.827315000000006,-73.897612,401.0,385.0
12X248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.827315000000006,-73.897612,367.0,351.6666666666667
10X225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.854493,-73.89671700000001,391.0,396.6666666666667
07X334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.81004,-73.917792,324.0,315.0
10X141,0.0,2.0,9.0,1.0,1.0,0.86,3.26,5.55,2.17,1.29,40.888338,-73.91348599999999,455.0,444.3333333333333
10X141,0.0,4.0,7.0,0.0,2.0,0.89,3.22,5.07,2.18,1.64,40.888338,-73.91348599999999,455.0,444.3333333333333
10X141,0.0,4.0,6.0,4.0,0.0,0.64,3.02,5.77,1.72,1.54,40.888338,-73.91348599999999,455.0,444.3333333333333
10X237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.875911,-73.901099,393.0,385.6666666666667
09X517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.833511,-73.90449,384.0,373.6666666666667
07X221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.813983,-73.92078199999999,378.0,363.3333333333333
07X520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.811162,-73.90980400000001,396.0,395.3333333333333
12X267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.827743,-73.90010500000001,432.0,417.0
07X500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.815498,-73.91224,426.0,419.0
08X282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.814833,-73.85658000000001,386.0,390.3333333333333
07X551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.813641,-73.925313,381.0,400.3333333333333
11X514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.887831,-73.852694,372.0,370.6666666666667
11X513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.887831,-73.852694,381.0,349.3333333333333
11X270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.887831,-73.852694,394.0,380.3333333333333
10X368,1.0,1.0,1.0,1.0,1.0,0.56,2.4,3.56,1.36,1.05,40.879368,-73.909896,408.0,393.6666666666667
10X368,0.0,6.0,7.0,4.0,0.0,0.48,2.19,3.69,1.29,1.0,40.879368,-73.909896,408.0,393.6666666666667
10X368,0.0,3.0,3.0,1.0,1.0,0.38,1.71,2.38,0.98,0.82,40.879368,-73.909896,408.0,393.6666666666667
09X404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.827642,-73.904473,360.0,358.0
09X297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.827642,-73.904473,386.0,382.6666666666667
09X543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.827642,-73.904473,315.0,346.3333333333333
09X403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.827642,-73.904473,312.0,321.6666666666667
12X480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.823532,-73.898872,385.0,393.6666666666667
12X446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.823532,-73.898872,372.0,367.0
08X293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.840702,-73.838545,385.0,386.0
08X408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.840702,-73.838545,373.0,396.0
08X405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.840702,-73.838545,436.0,413.6666666666667
09X239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.840422,-73.91091,355.0,361.3333333333333
09X414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.840422,-73.91091,364.0,374.0
09X329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.840422,-73.91091,365.0,379.3333333333333
09X412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.840422,-73.91091,376.0,361.0
09X413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.840422,-73.91091,419.0,407.0
09X227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.840422,-73.91091,376.0,349.6666666666667
11X542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.859665,-73.861006,438.0,429.3333333333333
11X541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.859665,-73.861006,382.0,376.3333333333333
11X288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.859665,-73.861006,471.0,449.3333333333333
11X415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.859665,-73.861006,361.0,360.3333333333333
11X299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.859665,-73.861006,391.0,389.6666666666667
10X549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.870293,-73.898309,379.0,371.6666666666667
12X388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.831601,-73.878912,351.0,323.3333333333333
12X692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.831601,-73.878912,357.0,346.0
12X690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.831601,-73.878912,387.0,379.3333333333333
12X550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.831601,-73.878912,323.0,313.0
11X275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.875953,-73.86197,376.0,370.3333333333333
11X544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.875953,-73.86197,378.0,375.3333333333333
11X265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.875953,-73.86197,391.0,378.3333333333333
11X253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.875953,-73.86197,357.0,382.3333333333333
11X545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.875953,-73.86197,393.0,387.6666666666667
11X290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.875953,-73.86197,365.0,378.3333333333333
10X268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.870293,-73.898309,356.0,320.6666666666667
10X342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.870293,-73.898309,333.0,311.3333333333333
