DBN,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Latitude,Longitude,SATmath,SATall
04M680,0.0,2.0,1.0,0.0,1.0,0.35,1.06,1.09,0.73,0.5,40.791881,-73.946558,351.0,351.3333333333333
04M680,1.0,1.0,4.0,1.0,0.0,0.27,1.11,1.38,0.8,0.48,40.791881,-73.946558,351.0,351.3333333333333
04M680,0.0,0.0,2.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.791881,-73.946558,351.0,351.3333333333333
03M485,2.0,2.0,5.0,4.0,0.0,2.93,12.33,31.53,6.47,5.13,40.773629,-73.98527299999999,564.0,569.0
03M485,0.0,3.0,8.0,2.0,1.0,3.33,12.0,34.5,6.42,7.17,40.773629,-73.98527299999999,564.0,569.0
03M485,0.0,4.0,2.0,2.0,0.0,3.14,13.0,34.86,8.29,5.29,40.773629,-73.98527299999999,564.0,569.0
02M298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716553000000005,-73.993092,438.0,431.0
02M394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716553000000005,-73.993092,512.0,396.0
05M304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.817372,-73.947712,399.0,403.3333333333333
05M685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.817372,-73.947712,361.0,361.6666666666667
06M348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.848908,-73.930948,395.0,391.3333333333333
06M293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.86079,-73.930672,446.0,423.3333333333333
02M529,1.0,5.0,4.0,6.0,0.0,0.33,1.32,1.76,0.83,0.59,40.757729,-73.983078,425.0,413.0
02M529,1.0,9.0,13.0,6.0,4.0,0.31,1.12,1.82,0.79,0.51,40.757729,-73.983078,425.0,413.0
02M529,2.0,7.0,19.0,4.0,3.0,0.28,1.11,1.74,0.75,0.53,40.757729,-73.983078,425.0,413.0
02M316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.70568,-74.013302,370.0,375.6666666666667
02M580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.70568,-74.013302,384.0,398.3333333333333
04M435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.793856,-73.934028,514.0,476.6666666666667
02M419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.742867,-74.002136,399.0,390.0
02M313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.742867,-74.002136,390.0,396.0
02M605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.742867,-74.002136,403.0,418.3333333333333
02M305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716778000000005,-73.989337,388.0,382.6666666666667
02M543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716778000000005,-73.989337,395.0,389.3333333333333
02M308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716778000000005,-73.989337,392.0,400.0
