puma,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,SATmath,SATall,Astham_Ratio,Drugs_Ratio
3702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.55555555555554,374.7407407407407,0.0310906916734848,0.06331424255774436
3704,0.0,2.625,1.625,1.375,1.0,0.10875000000000001,0.41625,0.60125,0.2825,0.18874999999999997,417.75,409.125,0.033268232367378074,0.032269087436054736
3705,0.40540540540540543,2.1621621621621623,3.5405405405405403,0.9459459459459459,1.054054054054054,0.12324324324324326,0.46108108108108115,0.6851351351351351,0.31135135135135134,0.21216216216216216,377.56756756756755,372.5585585585586,0.03993198931260627,0.2029147437454457
3707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,356.83333333333337,0.04320838371624345,0.0135832325675131
3709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.25,364.1111111111111,0.0444828330814079,0.0036709134096307495
3710,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.054210526315789466,0.13157894736842105,0.21631578947368418,0.11263157894736843,0.05789473684210527,383.7368421052632,379.859649122807,0.07341629936911244,0.026402212427620777
3801,0.0,0.3125,0.3125,0.1875,0.0625,0.0575,0.22187500000000004,0.3325,0.148125,0.10187500000000001,388.25,378.0625,0.018901899647774282,0.010812277242156547
3802,2.75,6.0,5.875,4.5,3.125,0.41000000000000003,1.57125,2.56625,1.02875,0.73625,506.125,483.62499999999994,0.026472962066182406,0.11019639494215766
3803,0.5,2.7142857142857144,2.7857142857142856,1.8571428571428572,1.0,0.31214285714285717,1.1242857142857143,1.8414285714285714,0.7642857142857143,0.5228571428571429,389.2142857142857,389.3095238095238,0.04011437221427971,0.09830964595071903
3804,0.15384615384615385,0.7692307692307693,1.0,0.46153846153846156,0.23076923076923078,0.2053846153846154,0.7084615384615385,0.9553846153846153,0.4984615384615385,0.32769230769230767,399.15384615384613,393.6923076923077,0.018651784066126893,0.05432088091365899
